job_id,title,company,added_at,source,job_category,date
greenhouse_d2l_7696232,Product Support Analyst,D2L (Brightspace),2026-05-13T06:20:09.314641,Greenhouse,Analyst / BA / SA,2026-05-13
greenhouse_d2l_260466,Software Developer,D2L (Brightspace),2026-05-13T06:20:09.314999,Greenhouse,Software / Tech,2026-05-13
greenhouse_d2l_7890294,Software Developer - Fall 2026 Co-op,D2L (Brightspace),2026-05-13T06:20:09.315337,Greenhouse,Co-op / Intern,2026-05-13
greenhouse_d2l_7455458,Software Developer - New Graduate,D2L (Brightspace),2026-05-13T06:20:09.315786,Greenhouse,Software / Tech,2026-05-13
greenhouse_d2l_7722011,Solutions Engineer,D2L (Brightspace),2026-05-13T06:20:09.316355,Greenhouse,Software / Tech,2026-05-13
greenhouse_faire_8437749002,Backend Engineer,Faire,2026-05-13T06:20:09.316799,Greenhouse,Software / Tech,2026-05-13
greenhouse_faire_8538503002,Data Engineer - Analytics Platform,Faire,2026-05-13T06:20:09.317195,Greenhouse,Software / Tech,2026-05-13
lever_pointclickcare_9bd42098-b3fc-4fec-90d7-fc31cd1d7e26,(Canada) Revenue Enablement Systems Associate,PointClickCare,2026-05-13T06:20:09.317665,Lever,Other,2026-05-13
lever_pointclickcare_55ad90ab-08fe-4646-b83f-7d2e83515a4c,(Canada) Revenue Operations Analyst - 12 Month Contract,PointClickCare,2026-05-13T06:20:09.318089,Lever,Analyst / BA / SA,2026-05-13
lever_pointclickcare_c68b5bd3-6dda-410c-bf32-28144f64289f,Canada- Security Analyst I,PointClickCare,2026-05-13T06:20:09.318520,Lever,Analyst / BA / SA,2026-05-13
lever_pointclickcare_0153a9e4-ac97-4bea-a6e8-ad5df870acda,"Canada- Sr Application Engineer, Salesforce (Contractor)",PointClickCare,2026-05-13T06:20:09.319152,Lever,Software / Tech,2026-05-13
lever_pointclickcare_70ef07bc-40c2-4ed9-b017-e4c1055878fd,Intermediate AI-Enabled DevOps Engineer,PointClickCare,2026-05-13T06:20:09.319551,Lever,Software / Tech,2026-05-13
lever_pointclickcare_ce41a1f5-22d7-4e25-8ba0-94c2ad24556b,Sr SWE - Developer Experience ( DevEx),PointClickCare,2026-05-13T06:20:09.319892,Lever,Software / Tech,2026-05-13
linkedin_4413846787,Fall Co-op 2026 - Software Engineer (4 months),Manulife,2026-05-13T20:38:12.553498,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4413866090,Fall Co-op 2026 - Software Engineer (12 months),Manulife,2026-05-13T20:38:12.559016,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4409814461,"Associate, Software Engineer, New Grad Card Expansion",Capital One,2026-05-13T20:38:12.559972,LinkedIn,Software / Tech,2026-05-13
linkedin_4413844502,QA Developer,Dentalcorp,2026-05-13T20:38:12.560710,LinkedIn,Software / Tech,2026-05-13
linkedin_4413769083,Software QA Technician Co-0p,Hexagon Mining,2026-05-13T20:38:12.561618,LinkedIn,Software / Tech,2026-05-13
linkedin_4408262765,"Intern, Full Stack Software Engineer - Team Sprout - Fall 2026",Capital One,2026-05-13T20:38:12.562628,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4408264804,"Intern, Full Stack Software Engineer - Team Integrated Storefront - Fall 2026",Capital One,2026-05-13T20:38:12.564175,LinkedIn,Co-op / Intern,2026-05-13
linkedin_4413768252,"Analyst, Data Science and Analytics Solutions",HOOPP (Healthcare of Ontario Pension Plan),2026-05-13T20:38:12.565587,LinkedIn,Data / Analytics,2026-05-13
linkedin_4413846247,"Financial Analyst, Revenue and Bank Reconciliations",Dentalcorp,2026-05-13T20:38:12.566634,LinkedIn,Analyst / BA / SA,2026-05-13
linkedin_4385975140,Software Engineer - Full Stack,Veeva Systems,2026-05-14T20:33:17.136065,LinkedIn,Software / Tech,2026-05-14
linkedin_4414147105,Developer,Agilus Work Solutions,2026-05-14T20:33:17.144263,LinkedIn,Software / Tech,2026-05-14
linkedin_4410636791,"MTS1, Software Engineer-Front End",eBay,2026-05-14T20:33:17.145487,LinkedIn,Software / Tech,2026-05-14
linkedin_4414182080,Software Engineer,ClearBlue Markets,2026-05-14T20:33:17.146918,LinkedIn,Software / Tech,2026-05-14
linkedin_4414278273,AI Full Stack Developer,Edelman DXI,2026-05-14T20:33:17.147821,LinkedIn,Software / Tech,2026-05-14
linkedin_4414204096,UI/UX Developer with Gen AI,J&amp;M Group,2026-05-14T20:33:17.152118,LinkedIn,Software / Tech,2026-05-14
linkedin_4414577761,Remote Software Developer,Turing,2026-05-14T20:33:17.154021,LinkedIn,Software / Tech,2026-05-14
linkedin_4414275164,Forward Deployed Engineer,Decoda Health,2026-05-14T20:33:17.157653,LinkedIn,Software / Tech,2026-05-14
